date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:18	177724/177724	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/other/super_bock_arena_logo.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/other/super_bock_arena_logo.png	(from http://127.0.0.1:8000/information/venue/)
14:46:18	164011/164011	URF---	200	added ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/other/jardins_palacio_cristal.jpg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/other/jardins_palacio_cristal.jpg	(from http://127.0.0.1:8000/information/venue/)
14:46:19	73689/73689	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/ms.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/ms.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:19	32650/32650	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/premium.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/premium.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:20	41398/41398	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/legendary.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/legendary.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:20	51452/51452	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/vilafoz.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/vilafoz.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:21	36066/36066	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/monumental.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/monumental.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:21	65625/65625	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/hf.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/hf.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:22	41046/41046	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/yotel.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/yotel.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:22	82444/82444	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/sheraton.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/sheraton.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:23	6687/6687	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/gallery.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/gallery.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:23	49051/49051	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/vinhaboutique.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/vinhaboutique.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:24	11618/11618	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/infantesagres.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/infantesagres.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:24	43414/43414	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/torel.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/torel.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:26	7218/7218	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/nh.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/nh.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:26	37435/37435	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/hotels/pestana.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/hotels/pestana.png	(from http://127.0.0.1:8000/information/hospitality/)
14:46:36	499110/499110	---M--	200	added ('OK')	image/jpeg	etag:%22655b706c-79da6%22	http://127.0.0.1:8000/static/images/other/boatride.jpeg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/other/boatride.jpg	(from http://127.0.0.1:8000/information/social_events/)
